"%s is not correct comparsion method.","%s nu este o metoda corecta de comparare."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Atentie!</strong>Aceste setari nu se aplica intregului Cos in ansamblu, ci fiecarui element din Cos in parte."
"Allow Qty Below 0","Accepta cantitate negativa"
"Allow Qty Below 0 and Notify Customer","Accepta cantitate negativa si anunta clientul"
"Backorders","Posibilitate de comanda"
"By Fixed value","dupa valoare fixa"
"By Percentage","dupa procent"
"Can not specify product identifier for order item","Nu se poate specifica ID-ul produsului comandat"
"Catalog Inventory","Inventar Catalog"
"Decrease Stock When Order is Placed","Scade stocul cand se face o comanda"
"In Stock","În stoc"
"Inventory","Gestiune stocuri"
"Inventory API","API Inventar"
"Inventory Section","Secţiune Inventar"
"Manage Stock","Administrare Stoc"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima permisa in cos"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima permisa in cos"
"No Backorders","Fara posibilitate de comanda"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Out of Stock","Stoc epuizat"
"Product Stock Options","Opţiuni Stoc Produs"
"Qty for Items' Status to become Out of Stock","Cantitatea de la care statusul produselor devine stoc zero"
"Retrieve stock data","Obţinere date stoc"
"Retrieve stock data by product ids","Obţine datele de stoc după id produs"
"Rule price","Reguli pret"
"Set Items' Status to be In Stock When Order is Cancelled","Seteaza statusul produselor ca In Stoc daca comanda este anulata"
"Some of the products are currently out of stock","Unele produse nu sunt in stoc"
"Some of the products can not be ordered in requested quantity","Unele produse nu pot fi comandate în cantitatea solicitată"
"Some of the products cannot be ordered in the requested quantity","Unele produse nu pot fi comandate în cantitatea solicitată"
"Stock Options","Optiuni stocuri"
"Stock item for Product in option is not valid","Stocul pentru produsul selectat nu este valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","Cantitatea maxima care se poate cumpara este %s."
"The minimum quantity allowed for purchase is %s.","Cantitatea minimă care poate fi cumpărată este %s."
"The requested quantity for ""%s"" is not available.","Cantitatea solicitata de ""%s"" nu este disponibila."
"The requested quantity is not available.","Cantitatea solicitata nu este disponibila."
"This product is currently out of stock.","Momentan, acest produs nu este în stoc."
"To Fixed Value","pina la valoare fixa"
"To Percentage","pina la procent"
"Update","Actualizare"
"Update product stock data","Actualizează datele despre stocul produselor"
"Update the Product","Actualizeaza produs"
