"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a fost adaugat la Favorite. Click <a href=""%2$s"">aici</a> pentru a continua cumparaturile"
"%s's Wishlist","Favoritele lui %s"
"* Required Fields","* campuri obligatorii"
"Add All to Cart","Pune toate in cos"
"Add to Cart","Pune in cos"
"Add to Wishlist","Adauga la Favorite"
"Added On","Adaugat la"
"Are You sure?","Eşti sigur(ă)?"
"Are you sure you want to remove this product from your wishlist?","Esti sigur ca vrei sa stergi produsul de la Favorite?"
"Are you sure you would like to remove this item from the wishlist?","Esti sigur ca vrei sa stergi articolul din lista de favorite?"
"Back","inapoi"
"Can't save description %s","Nu pot salva descrierea %s"
"Cannot create wishlist","Nu pot crea lista de favorite"
"Cannot specify product","Nu pot specifica produsul"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Bifeaza daca vrei sa adaugi un link catre un feed RSS in lista ta de favorite."
"Comment","Comentariu"
"Email Sender","Expeditor email"
"Email Template","Template de email"
"Email address can't be empty.","Adresa de email nu poate fi goala."
"Email addresses, separated by commas","Adrese email, separate de virgula"
"Enabled","Activat"
"General Options","Optiuni generale"
"Go to Wishlist","Mergi la favorite"
"Last Added Items","Ultimele adaugate"
"Message","Mesaj"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Favorite (%d item)"
"My Wishlist (%d items)","Favorite (%d items)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introdu adrese de mail valide, separate de virgula. De exemplu, fifi1987@domeniu.ro."
"Please, enter your comments...","Introdu comentariile..."
"Product","Produs"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS catre favoritele lui %s'"
"Remove Item","Sterge articol"
"Share Wishlist","Trimite favoritele"
"Share Your Wishlist","Trimite lista ta de favorite"
"Share options","Optiuni share favorite"
"Sharing Information","Informatii share favorite"
"There was an error while adding item to wishlist.","Eroare la adaugarea articolului in lista de favorite."
"There was an error while adding item to wishlist: %s","Eroare la adaugarea articolului in lista de favorite: %s"
"There was an error while deleting item from wishlist.","Eroare la stergerea articolului din lista de favorite."
"There was an error while deleting item from wishlist: %s","Eroare la stergerea articolului din lista de favorite: %s"
"This product(s) is currently out of stock:","Produsul nu este momentan in stoc:"
"Update Wishlist","Actualizeaza favorite"
"View Product","Vezi produs"
"Wishlist","Favorite"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Partajare favorite"
"Wishlist is empty now.","Lista de favorite e goala."
"You have no items in your wishlist.","Nu ai nimic in lista de favorite."
"You input not valid email address.","Ai introdus o adresa de email nevalida."
"Your Wishlist was successfully shared","Lista de favorite a fost trimisa cu succes."
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Favorite"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
