" The customer doesn't exist in the system anymore"," Clientul nu mai exista in sistem"
" and "," and "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Calea relativa sau absoluta catre folderul de instalare Magento, ex. var/export)"
"(For US 2-letter state names)","(Abrevieri de 2 cifre pentru statele din SUA)"
"(If left empty will be auto-generated)","(Lasat gol se va autogenera)"
"(Leave empty for first spreadsheet)","(Lasa gol pentru primul spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produsele vor fi adaugate/actualizate in acest magazin daca coloana 'store' ramane goala sau lipseste in fisierul de import.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Selectand 'Nu', doar campurile mapate se vor importa. La mapare, foloseste 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - If indexing is in progress, it will be killed and new indexing process will start"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select --","-- Alege --"
"-- Please select --","-- Please select --"
"-- Please select a category --","-- Alege o categorie --"
"--Please Select--","--Alege--"
"1 Hour","1 Hour"
"12 Hours","12 Hours"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Hours"
"24 Hours","24 Hours"
"24h","24h"
"2YTD","Ultimii 2 ani"
"6 Hours","6 Hours"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Eroare 404</h1><p>Pagina nu exista.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accesul interzis</h1><p>Accesul este interzis la aceasta pagina.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","A new password was sent to your email address. Please check your email and click Back to Login."
"API Stability","Stabilitate API"
"API Version","Versiune API"
"API:","API:"
"About the calendar","About the calendar"
"Access Denied.","Accesul interzis."
"Access Deny","Interzice acces."
"Account Created in:","Cont creat in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Cont creat la:"
"Account Information","Informatii cont"
"Account status","Status cont"
"Account successfully saved","Contul a fost salvat."
"Action","Actiune"
"Actions","Actiuni"
"Actions XML","Actiuni XML"
"Active","Activ"
"Add","Add"
"Add Contents Path","Add Contents Path"
"Add Exception","Add Exception"
"Add Field Mapping","Adauga mapare camp"
"Add Field with URL:","Add Field with URL:"
"Add Maintainer","Add Maintainer"
"Add New Image","Adauga imagine"
"Add New Profile","Adauga profil"
"Add New Role","Adauga drepturi"
"Add New Template","Adauga template"
"Add New Urlrewrite","Adauga Urlrewrite"
"Add New User","Adauga utilizator"
"Add New osCommerce Profile","Add New osCommerce Profile"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Package dependency","Add Package dependency"
"Add Subpackage dependency","Add Subpackage dependency"
"Add Urlrewrite","Add Urlrewrite"
"Add Urlrewrite for a Category","Add Urlrewrite for a Category"
"Add Urlrewrite for a Product","Add Urlrewrite for a Product"
"Add after","Add after"
"Add new Role","Adauga drepturi"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Tip adresa:"
"Admin","Admin"
"Advanced Admin Section","Advanced Admin Section"
"Advanced Profiles","Profiluri avansate"
"Advanced Section","Advanced Section"
"Aggregate Order","Comanda compusa"
"All","Toate"
"All Allowed Countries","Toate tarile"
"All Cache","All Cache"
"All Files","Toate fisierele"
"All Store Views","Toate vitrinele"
"All Tags","Toate etichetele"
"All Websites","Toate siturile"
"All countries","Toate tarile"
"All fields","Toate campurile"
"All possible rates were fetched, click on ""Save"" to apply","Toate cotele posibile au fost adunate, click ""Salveaza"" pentru salvarea lor"
"All rates were fetched, click on ""Save"" to apply","Toate cotele au fost adunate, click ""Salveaza"" pentru salvarea lor"
"All valid rates successfully saved","Toate cotele valide au fost salvate."
"Amounts","Cantitati"
"Any","Oricare"
"Any Attribute Set","Oricare set de atribute"
"Any Group","Oricare grup"
"Any Status","Orice status"
"Any Store","Oricare magazin"
"Any Type","Oricare tip"
"Any Visibility","Oricare vizibilitate"
"Api Key","Api Key"
"Api Key Confirmation","Api Key Confirmation"
"Archive file name:","Numele arhivei:"
"Are you sure that you want to delete this template?","Esti sigur ca vrei sa stergi acest template?"
"Are you sure that you want to strip tags?","Esti sigur ca vrei sa desfaci etichetele?"
"Are you sure you want to do this?","Esti sigur ca vrei sa faci asta?"
"Are you sure you wish to INSTALL all selected packages?","Esti sigur ca vrei sa INSTALEZI toate pachetele selectate?"
"Are you sure you wish to UNINSTALL all selected packages?","Esti sigur ca vrei sa DEZINSTALEZI toate pachetele selectate?"
"Are you sure you wish to UPGRADE all selected packages?","Esti sigur ca vrei sa faci UPGRADE la toate pachetele selectate?"
"Area","Area"
"Assigned","Alocat"
"Attribute Set Name:","Nume set atribute:"
"Attribute set successfully saved.","Set de atribute salvat."
"Attribute set was successfully removed.","Set de atribute sters."
"Attributes","Attributes"
"Available Products","Available Products"
"Available Version","Versiune disponibila"
"Average Order Amount","Suma medie/comanda"
"Average Orders","Medie comenzi"
"Back","Inapoi"
"Back to Login","Inapoi la Login"
"Back to local packages","Inapoi la pachete locale"
"Backup","Backup"
"Backup record was deleted","Backup-ul a fost sters."
"Backup successfully created","Backup creat cu succes."
"Backups","Backup-uri"
"Base currency","Valuta standard"
"Bcc","Bcc"
"Bestsellers","Cele mai vandute"
"Big Image","Imagine mare"
"Billing Address","Adresa facturare"
"Billing address","Adresa de facturare"
"Block Information","Informatii bloc"
"Both (without and with tax)","Ambele (cu si fara TVA)"
"Browse Available Extensions","Browse extensii disponibile"
"Browse Available Remote Extensions","Browse extensii disponibile remote"
"Browse Files...","Browse fisiere..."
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CRITICAL","CRITICAL"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separated"
"Cache Control","Cache Control"
"Cache Control (beta)","Cache Control (beta)"
"Cache Management","Cache Management"
"Can not add new comment.","Can not add new comment."
