"Actions","Acciones"
"Are you sure?","¿Está usted seguro?"
"Date Added","Fecha Añadida"
"Error while marking as read. Please try again later.","Error mientras se marcaba como leído. Por favor intente más tarde."
"Error while marking. Please try again later.","Error mientras se marcaba. Por favor intente más tarde."
"Error while removing. Please try again later.","Error mientras se removía. Por favor intente más tarde."
"Last update","Última actualización"
"Mark as Read","Marcar como Leído"
"Mark as read","Marcar como leído"
"Message","Mensaje"
"Message was successfully marked as read","Mensaje leído correctamente"
"Message was successfully removed","Mensaje removido correctamente"
"Messages Inbox","Mensajes en Bandeja"
"Notifications","Notificaciones"
"Please select messages","Por favor seleccione mensajes"
"Read Details","Detalles de Lectura"
"Remove","Remover"
"Severity","Severidad"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Herramientas"
"Total of %d record(s) were successfully marked as read","Un total de %d registro(s) fueron marcados como leídos"
"Total of %d record(s) were successfully removed","Un total de %d registro(s) fueron removidos"
"Unable to proceed. Please, try again","Imposible proceder. Por favor intente más tarde"
"Update frequency","Frecuencia de Actualización"
"Use HTTPS to get feed","Usar HTTPS para obtener fuentes"
"critical","crítico"
"major","mayor"
"minor","menor"
"notice","noticia"
